Referencia;Nombre;Categoria;Descripcion
1165;FILTRO ESTANDAR LAVAMANOS USA;GRIFERIA;
1166;FILTRO GRIFERIA PLASTICO HEMBRA BOCHERINI;GRIFERIA;5031
1167;FILTRO GRIFERIA PLASTICO MACHO BOCHERINI;GRIFERIA;5032
1168;FILTRO LAVAPLATOS BORDE ANCHO;GRIFERIA;
1169;FILTRO LAVAPLATOS BORDE PEQUEÃ¯Â¿Â½O;GRIFERIA;
1170;"FILTRO LAVAPLATOS SECURITY 4""";GRIFERIA;33320
1172;"FILTRO LAVAPLATOS X 4""";GRIFERIA;
1171;FILTRO PURIFICADOR DE AGUA;GRIFERIA;YW110
1173;FISTO ABBA;PARTES Y REPUESTOS;
1174;FISTO CENTRALES;PARTES Y REPUESTOS;
1175;FISTO CHALLENGER;PARTES Y REPUESTOS;
1176;FISTO CHILENO LARGO;PARTES Y REPUESTOS;
1177;FISTO CONTINENTAL;PARTES Y REPUESTOS;
1178;FISTO HACEB CORTO;PARTES Y REPUESTOS;
1;FISTO INDUSTRIAL;HOGAR Y COCINA;
1179;FISTO MABE;PARTES Y REPUESTOS;
1180;FISTO SUECO;PARTES Y REPUESTOS;
1181;FISTO SUPERIOR;PARTES Y REPUESTOS;
1182;FISTO TROPICAL;PARTES Y REPUESTOS;
1183;"FLANCHE 1""";GRIFERIA;
1184;"FLANCHE PARA TANQUE 1/2""";GRIFERIA;1632
3422;FLEXOMETRO 3MT ECO;HERRAMIENTA MANUAL;10013714
3423;FLEXOMETRO 5MT ECO;HERRAMIENTA MANUAL;
1185;"FLEXOMETRO AMARILLO 3MT CINTA 1/2"" PRETUL";HERRAMIENTA MANUAL;21605
1186;"FLEXOMETRO AMARILLO 5MT CINTA 3/4"" PRETUL";HERRAMIENTA MANUAL;21606
1188;FLEXOMETRO FLEX 3 MT LUFKIN;HERRAMIENTA MANUAL;34078
1189;FLEXOMETRO FLEX 5 MT LUFKIN;HERRAMIENTA MANUAL;34108
3395;FLEXOMETRO TAURUS X 7.5M;HERRAMIENTA MANUAL;VROM516
1194;FONDO EXPERTO BLANCO 1 G SUPER;PINTURAS Y DISOLVENTES;251
1190;FONDO EXPERTO BLANCO 1/2 G SUPER;PINTURAS Y DISOLVENTES;251
1191;FONDO EXPERTO BLANCO 1/32 G SUPER;PINTURAS Y DISOLVENTES;251
1192;FONDO EXPERTO BLANCO 1/4 G SUPER;PINTURAS Y DISOLVENTES;251
1193;FONDO EXPERTO BLANCO 1/8 G SUPER;PINTURAS Y DISOLVENTES;251
1199;FONDO INDUSTRIAL NEGRO 1 GALON SUPER;PINTURAS Y DISOLVENTES;251
1195;FONDO INDUSTRIAL NEGRO 1/2 G SUPER;PINTURAS Y DISOLVENTES;251
1196;FONDO INDUSTRIAL NEGRO 1/32 G SUPER;PINTURAS Y DISOLVENTES;251
1197;FONDO INDUSTRIAL NEGRO 1/4 G SUPER;PINTURAS Y DISOLVENTES;251
1198;FONDO INDUSTRIAL NEGRO 1/8 G SUPER;PINTURAS Y DISOLVENTES;251
1200;"FORMON 1/4"" PRETUL";HERRAMIENTA MANUAL;21650
3187;"FORMON 5/8"" PRETUL";HERRAMIENTA MANUAL;21659
3597;FUMIGADOR 3L (0.8GAL) TRUPER;HERRAMIENTA MANUAL;Marca Vikingos, Línea PULVERIZADOR, Modelo ASPERSORA 3L N VK, Tipo de pulverizador Manual de compresión previa, Tipo de batería Manual, Capacidad total 3 L, Capacidad útil 3 L, Altura del pulverizador x Ancho del pulverizador x Largo del pulverizador 34 cm x 16 cm x 16 cm, Peso 300 g, Presión máxima 5 atm, Material del cuerpo Plástico, Material de la boquilla Plástico, Con válvula de seguridad Sí, Incluye cargador No, Incluye batería No  Fumigadora Aspersor Para Jardín y Exteriores.-        Bomba fumigadora a presión.-        Recarga manual a bombeo.-        Gatillo de activación.-        Bloqueo de gatillo.-        Boquilla ajustable.-        Agarre cómodo.-        Capacidad máxima: 3 litros.-        Altura: 34 cm-        Ancho: 16 cm-        Diámetro de boca: 4.6 cmAspersora fumigadora para jardín. Pulveriza líquidos como insecticidas, herbicidas y fertilizantes. Podrás rociar fácilmente en espacios de difícil acceso, la boquilla graduable permite ajustar el tamaño y la dirección de la riega. El gatillo cuenta con un mecanismo para que se bloquee haciendo que ya no tengas que sostener el gatillo para rociar.Te ayudará a regar las plantas de una manera eficiente. Podrás rociar productos para el control de plagas y fitosanitarios en cultivos pequeños u hogar.Si tienes cualquier tipo de duda o pregunta no dudes en ponerla en la sección de preguntas. Tenemos atención rápida y especializada para cualquier duda que se presente.Garantía:• Todos nuestros productos tienen una garantía hábil de 1 mes a partir del momento en el que recibas el producto.
3601;FUMIGADOR DOMESTICO 2 LTS TRUPER;HERRAMIENTA MANUAL;"""Marca Truper, Modelo FUM-12, Capacidad total 12 L, Peso 3,2 kg  """"FUMIGADOR DE MOCHILA, 12 LITROSMarca: TruperCódigo: 14695Clave: FUM-12CARACTERÍSTICAS- Lanza de acero inoxidable, manguera de PVC y tanque traslúcido de polietilenode alta densidad que permite ver el nivel del líquido- Boquilla de plástico ajustable (jet-cono), empaque Santoprene® y correasacojinadas- Sistema de bombeo de pistón lateral y agitador mecánico- Correas acojinadas- Para fertilización y control de insectosESPECIFICACIONES- Capacidad: 12 L (3.1 gal)- Presión de trabajo: 60 PSI- Diámetro de manguera: 1/2""""""""- Largo de manguera: 1.35 m- Largo lanza: 61 cm- Peso: 3.2 kg- Empaque individual: Caja."""
1201;FUSIBLE OLLA NEGRO;HOGAR Y COCINA;
1202;FUSIBLE OLLA PUNTO VERDE, ROJO, NARANJA PEQUEÃ¯Â¿Â½O;HOGAR Y COCINA;
3281;FUSIBLE TUBULAR 1-30 A;ELECTRICOS;THRO12U
1203;FUSIBLE VEHICULAR GRANDE;ELECTRICOS;
1204;FUSIBLE VEHICULAR PEQUEÃ¯Â¿Â½O;ELECTRICOS;
1206;GAFAS DE SEGURIDAD NEGRO PRETUL;DOTACION INDUSTRIAL;20402
1207;GAFAS DE SEGURIDAD PARA LASER;DOTACION INDUSTRIAL;10757
3676;GAFAS DE SEGURIDAD PRETUL;DOTACION INDUSTRIAL;21538
1205;GAFAS DE SEGURIDAD TRANSPARENTE PRETUL;DOTACION INDUSTRIAL;20401
1208;GAFAS DE SEGURIDAD VERDE FORTE;DOTACION INDUSTRIAL;14282
1209;GAFAS ELEMENT CLARA JACKSON;DOTACION INDUSTRIAL;10351058
1210;GAFAS PARA SOLDAR TRUPER;DOTACION INDUSTRIAL;14282
1211;GANCHO ADHESIVO AMARRE;HERRAJES Y SOPORTES;
1212;GANCHO ADHESIVO CUADRADO BLANCO;HERRAJES Y SOPORTES;
1213;GANCHO ADHESIVO GRANDE BLANCO;HERRAJES Y SOPORTES;
1215;GANCHO ADHESIVO MANGUERA LUCES;HERRAJES Y SOPORTES;
1217;GANCHO ADHESIVO MINI BLANCO;HERRAJES Y SOPORTES;
1218;GANCHO ADHESIVO PEQUEÃ¯Â¿Â½O BLANCO;HERRAJES Y SOPORTES;
1219;GANCHO ADHESIVO SUPERJUMBO BLANCO;HERRAJES Y SOPORTES;
1220;GANCHO ADHESIVO UÃ¯Â¿Â½A PRESION;HERRAJES Y SOPORTES;
3325;GANCHO DE ROPA PLASTICO;DOTACION INDUSTRIAL;
1221;GANCHO PARA TEJA;CONSTRUCCION;
3341;SET 4 PIEZAS DE GANCHOS MULTIUSOS TRUPER;HERRAMIENTA MANUAL;14210
1223;GARRAFA PLASTICA DE SEGUNDA 5 GALONES;PINTURAS Y DISOLVENTES;
1224;GASTOP FUERZA MEDIA 10G UNIFIX;PEGANTES;
3590;GAVETA APILABLE DE PLASTICO 16.5X10.5X7.5 CM;PARTES Y REPUESTOS;10889
1225;GEL ANTIBACTERIAL CON ALCOHOL 500 ML;HOGAR Y COCINA;
1226;GEL ANTIBACTERIAL CON ALCOHOL 1000 ML;HOGAR Y COCINA;
1227;GOTA DE REPUESTO PARA NIVEL;HERRAMIENTA MANUAL;17042
3683;VARILLA GRAFIL 4MM X 1M;CONSTRUCCION;
3682;VARILLA GRAFIL 4MM X 6MT;CONSTRUCCION;
2477;GRAFITO GOTERO;LUBRICANTES;
1230;GRANITO BLANCO 21/2 1K;CONSTRUCCION;FG1
1229;GRANITO BLANCO 21/2 40K;CONSTRUCCION;FGB
1231;GRAPA CAMA GALVANIZADA X 4 VERA;HERRAJES Y SOPORTES;13773
3204;GRAPA COSEDORA PARA ET-21 5/16 TRUPER;HERRAJES Y SOPORTES;17971
1222;GRAPA LAVAMANOS PLASTICA PAR;GRIFERIA;
1232;GRAPA ZUNCHO  UN;HERRAJES Y SOPORTES;
1233;GRAPA ZUNCHO KILO;HERRAJES Y SOPORTES;
1234;GRAPA PLASTICA 1/2;HERRAJES Y SOPORTES;1797
1235;GRAPA PLASTICA 3/8;HERRAJES Y SOPORTES;1690
1236;GRAPA PLASTICA N6 CUADRADA;HERRAJES Y SOPORTES;
1237;GRAPA PLASTICA N6 REDONDA;HERRAJES Y SOPORTES;
1238;GRAPA PLASTICA N9 CUADRADA;HERRAJES Y SOPORTES;
1239;GRAPA PLASTICA N9 REDONDA;HERRAJES Y SOPORTES;
1242;"GRAPA TUBO GALVANIZADA 1/2"" DOBLE";HERRAJES Y SOPORTES;
1240;"GRAPA TUBO GALVANIZADA 1"" DOBLE";HERRAJES Y SOPORTES;
1241;"GRAPA TUBO GALVANIZADA 1"" SENCILLA";HERRAJES Y SOPORTES;
1243;"GRAPA TUBO GALVANIZADA 1/2"" SENCILLA";HERRAJES Y SOPORTES;
1244;"GRAPA TUBO GALVANIZADA 11/2"" DOBLE";HERRAJES Y SOPORTES;
1245;"GRAPA TUBO GALVANIZADA 11/2"" SENCILLA";HERRAJES Y SOPORTES;
1246;"GRAPA TUBO GALVANIZADA 2"" DOBLE";HERRAJES Y SOPORTES;
1247;"GRAPA TUBO GALVANIZADA 3"" DOBLE";HERRAJES Y SOPORTES;
1248;"GRAPA TUBO GALVANIZADA 3/4"" DOBLE";HERRAJES Y SOPORTES;
1249;"GRAPA TUBO GALVANIZADA 3/4"" SENCILLA";HERRAJES Y SOPORTES;
1250;"GRAPA TUBO GALVANIZADA 3/8"" DOBLE";HERRAJES Y SOPORTES;
1251;"GRAPA TUBO GALVANIZADA 3/8"" SENCILLA";HERRAJES Y SOPORTES;
1252;"GRAPA TUBO GALVANIZADA 4"" DOBLE";HERRAJES Y SOPORTES;
1253;GRAPADORA TIPO PISTOLA PRETUL;HERRAMIENTA MANUAL;17977
1254;GRASA MULTIUSO 300G;LUBRICANTES;
1255;GRASA MULTIUSO 450G TRUPER;LUBRICANTES;12783
1256;"GRATA CIRCULAR ALAMBRE FINO 2"" TALADRO TRUPER";ABRASIVOS Y CONSUMIBLES;11574
1257;"GRATA CIRCULAR ALAMBRE FINO 3"" TALADRO TRUPER";ABRASIVOS Y CONSUMIBLES;11575
1258;"GRATA COPA ALAMBRE GRUESO 3/4"" TALADRO TRUPER";ABRASIVOS Y CONSUMIBLES;11593
3339;"GRATA COPA ALAMBRE GRUESO TALADRO 1""- 3/4";TUBERIAS Y ACCESORIOS;11571
1259;"GRATA COPA ALAMBRE ONDULADO 3""X  5/8 TRUPER";ABRASIVOS Y CONSUMIBLES;14182
1260;"GRATA COPA ALAMBRE ONDULADO 3""X 14 MM TRUPER";HERRAMIENTA MANUAL;14180
1261;"GRATA COPA ALAMBRE ONDULADO 4""X 14 MM TRUPER";HERRAMIENTA MANUAL;11532
1263;"GRATA COPA ALAMBRE TRENZADO 3""X 14 MM TRUPER";HERRAMIENTA MANUAL;"""Marca Toolcraft, Modelo TC1279  Grata Copa Trenzada 5"""""""" Marca: Toolcraft Código: TC1279 ¡Prepárate para marcar la diferencia con ToolCraft! Nuestra marca trae consigo la perfecta combinación entre calidad, precisión y durabilidad. Cada herramienta es una obra maestra diseñada para alcanzar la excelencia en cada proyecto que emprendas. Descubre el poder de crear con ToolCraft y lleva tus habilidades al siguiente nivel. CARACTERÍSTICAS ¤ Fabricada en acero al carbón. ¤ Útil en superficies planas e irregulares y áreas grandes. ¤ Diámetro: 5"""""""". ¤ Calibre: 0.35 mm. ¤ Entrada: 14 mm. ¤ Largo de alambre: 25 mm. ¤ Revoluciones: 6.500 rpm. ¤ Tipo de alambre: Fino. ¤ Por su seguridad nunca sobrepase el número de rpm establecido. PRINCIPALES USOS ¤ Trabajo pesado y desbaste en metales. ¤ Uso en esmeriladora. FACTURA ELECTRÓNICA Todos nuestros productos ofertados son con IVA incluido, por lo que podrás solicitar tu factura electrónica después de que realices tu compra. Realizamos facturas a empresas y personas."""""""
1264;"GRATA COPA ALAMBRE TRENZADO 3""X 5/8 TRUPER";HERRAMIENTA MANUAL;14186
1265;"GRATA COPA ALAMBRE TRENZADO 4""X 14 MM TRUPER";HERRAMIENTA MANUAL;"""Marca Toolcraft, Modelo TC1279  """"¡Grata Copa Trenzada 5"""""""" Marca: Toolcraft Código: TC1279 ¡Prepárate para marcar la diferencia con ToolCraft! Nuestra marca trae consigo la perfecta combinación entre calidad, precisión y durabilidad. Cada herramienta es una obra maestra diseñada para alcanzar la excelencia en cada proyecto que emprendas. Descubre el poder de crear con ToolCraft y lleva tus habilidades al siguiente nivel. CARACTERÍSTICAS ¤ Fabricada en acero al carbón. ¤ Útil en superficies planas e irregulares y áreas grandes. ¤ Diámetro: 5"""""""". ¤ Calibre: 0.35 mm. ¤ Entrada: 14 mm. ¤ Largo de alambre: 25 mm. ¤ Revoluciones: 6.500 rpm. ¤ Tipo de alambre: Fino. ¤ Por su seguridad nunca sobrepase el número de rpm establecido. PRINCIPALES USOS ¤ Trabajo pesado y desbaste en metales. ¤ Uso en esmeriladora. FACTURA ELECTRÓNICA Todos nuestros productos ofertados son con IVA incluido, por lo que podrás solicitar tu factura electrónica después de que realices tu compra. Realizamos facturas a empresas y personas."""""""
1266;"GRATA COPA ALAMBRE TRENZADO 4""X 5/8 TRUPER";HERRAMIENTA MANUAL;14187
3387;GRATA MANGO AMARILLO;HERRAMIENTA MANUAL;1688
1267;GRATA MANGO MADERA;ABRASIVOS Y CONSUMIBLES;
1268;"GRATA ESMERIL ALAMBRE ONDULADO 6"" TRUPER";HERRAMIENTA MANUAL;11520
1269;"GRATA PULIDORA ALAMBRE TRENZADO 4"" TRUPER";ABRASIVOS Y CONSUMIBLES;17527
1270;GUANTE CAL 7/L NEGRO;DOTACION INDUSTRIAL;5047
1271;GUANTE CAL 7/M NEGRO;DOTACION INDUSTRIAL;5046
1272;GUANTE CAL 7/S NEGRO;DOTACION INDUSTRIAL;5045
3412;GUANTE CARNAZA CORTO REFORZADO;DOTACION INDUSTRIAL;100137318
1274;GUANTE LATEX NEGRO HGN 002 T M;DOTACION INDUSTRIAL;
1275;GUANTE LATEX NEGRO HGN 002 T S;DOTACION INDUSTRIAL;
1276;GUANTE HILAZA PEPAS;DOTACION INDUSTRIAL;884
1277;GUANTE INDUSTRIAL C 25 T10 FORTE;DOTACION INDUSTRIAL;39795
1278;GUANTE INGENIERO REFORZADO;DOTACION INDUSTRIAL;
1279;GUANTE INGENIERO SENCILLO;DOTACION INDUSTRIAL;
1280;GUANTE NITRILO TALLA 10;DOTACION INDUSTRIAL;
1281;GUANTE NITRILO TALLA 7;DOTACION INDUSTRIAL;
1283;GUANTE NITRILO TALLA 9;DOTACION INDUSTRIAL;
1284;GUANTE PROTEXION NITRILO T 9;DOTACION INDUSTRIAL;43405
3353;GUANTE SOLDADOR  AMARILO O ROJO TIPO KODIACK;DOTACION INDUSTRIAL;
1285;GUANTE CAUCHO TRITON CAL35 T10;DOTACION INDUSTRIAL;4618
1286;GUANTE CAUCHO TRITON CAL35 T7;DOTACION INDUSTRIAL;4612
1287;GUANTE CAUCHO TRITON CAL35 T 71/2;DOTACION INDUSTRIAL;4613
1288;GUANTE CAUCHO TRITON CAL35 T 8;DOTACION INDUSTRIAL;4614
1289;"GUANTE CAUCHO TRITON CAL35 T 81/2""";DOTACION INDUSTRIAL;4615
1575;GUANTE CARNAZA PARA ELECTRICISTA;DOTACION INDUSTRIAL;14289
3151;GUASA 3/16 UN;TORNILLERIA;
3153;GUASA 5/16 UN;TORNILLERIA;
3154;GUASA 7/16 UN;TORNILLERIA;
1293;GUAYA DE ACERO 7H 1/8 1 MT;SOGAS Y CADENAS;44205
3591;HACHA CAZADORA 11/4LB MANGO HICKORY TRUPER;HERRAMIENTA MANUAL;"""""""Marca Truper, Modelo HE-1-1/4M, Tipo de hacha De mano, Material del mango Madera, Peso de la cabeza 1 g, Peso total 1 g, Largo total 14 """""""", Largo del filo 1 cm, Con manija Sí """" """"Tu compra incluye:x1 hacha Truper cazadora mango hickory americano 14"""""""" - SK599- Cabeza en acero al carbono con doble tratamiento térmico para mayor resistencia y durabilidad de filo.- Mango ergonómico.Excede la norma: Especif. Federal: ASME B107.400."""
1295;HERRAJE PARA 2 TACOS O BREAKER;ELECTRICOS;1533
1296;HERRAJE PARA 3 TACOS O BREAKER;ELECTRICOS;1534
1297;HILO GANAFULL O SOGA MARINA 13MM 1MT;SOGAS Y CADENAS;31474
3513;HILO GANAFULL O SOGA MARINA 8 1MT;SOGAS Y CADENAS;
1298;HILO PARA ALBAÃ¯Â¿Â½IL AMARILLO 165MT TRUPER;CONSTRUCCION;14052
1299;HILO PARA ALBAÃ¯Â¿Â½IL AZUL 165MT;CONSTRUCCION;14057
1300;HILO PARA ALBAÃ¯Â¿Â½IL BLANCO 165MT;CONSTRUCCION;12989
1301;HILO PARA ALBAÃ¯Â¿Â½IL NARANJA 165MT;CONSTRUCCION;14061
1302;HILO PARA ALBAÃ¯Â¿Â½IL ROJO 165MT;CONSTRUCCION;14054
1303;HILO PARA ALBAÃ¯Â¿Â½IL VERDE 165MT;CONSTRUCCION;14060
3198;HILO PARA GUADAÃ¯Â¿Â½A AMARILLO 3.3MM X1MT;SOGAS Y CADENAS;17650
3346;"HOMBRESOLO CURVO 7"" PRETUL";HERRAMIENTA MANUAL;22701
1305;"HOMBRESOLO RECTO 10"" PRETUL";HERRAMIENTA MANUAL;22702
1306;VINILO T3 ICOLATEX BLANCO 1 GALON PINTUCO;PINTURAS Y DISOLVENTES;10013684 30%
1307;VINILO T3 ICOLATEX BLANCO 1/2 G PINTUCO;PINTURAS Y DISOLVENTES;10013684
1308;VINILO T3 ICOLATEX BLANCO 1/32 G PINTUCO;PINTURAS Y DISOLVENTES;10013684
1309;VINILO T3 ICOLATEX BLANCO 1/4 G PINTUCO;PINTURAS Y DISOLVENTES;10013684
1310;VINILO T3 ICOLATEX BLANCO 1/8 G PINTUCO;PINTURAS Y DISOLVENTES;10013684
1311;VINILO T3 ICOLATEX BLANCO CANECA 5 G PINTUCO;PINTURAS Y DISOLVENTES;10016257 20%
2927;IMAN EXTENDIBLE FLEXIBLE CON LED 3.4 KG;HERRAMIENTA MANUAL;15326
1320;IMAN MONEDA 0;PARTES Y REPUESTOS;
1321;IMAN MONEDA 1;PARTES Y REPUESTOS;
1322;IMAN MONEDA 2;PARTES Y REPUESTOS;
1323;IMAN MONEDA 3;PARTES Y REPUESTOS;
1324;IMAN MONEDA 4;PARTES Y REPUESTOS;
1325;IMAN MONEDA 6;PARTES Y REPUESTOS;
1326;IMAN MONEDA 7;PARTES Y REPUESTOS;
1327;IMAN MONEDA 8;PARTES Y REPUESTOS;
1328;IMAN MONEDA 9;PARTES Y REPUESTOS;
1329;RACOR INSERTO RIEGO PVC 1/2 X 20 MM;GRIFERIA;11153
1336;INTERRUPTOR + TOMA P/T BLANCO DUOMO AVE;ELECTRICOS;34279
1330;INTERRUPTOR + TOMA BLANCA MERCURY;ELECTRICOS;
1331;INTERRUPTOR DE PASO CORREDERA AVE;ELECTRICOS;266494
1332;INTERRUPTOR DOBLE BLANCO DUOMO AVE;ELECTRICOS;51123
1333;INTERRUPTOR DOBLE BLANCO MERCURY;ELECTRICOS;
1334;INTERRUPTOR DOBLE CONMU BLANCO DUOMO AVE;ELECTRICOS;35868
1335;INTERRUPTOR PANTALLA PÃ¯Â¿Â½A;ELECTRICOS;272
1337;INTERRUPTOR SENCILLO BLANCO DUOMO AVE;ELECTRICOS;35035
1339;INTERRUPTOR SENCILLO CONMUTABLE BLANCO DUOMO AVE;ELECTRICOS;51185
1340;INTERRUPTOR SENCILLO SOBREPONER BLANCO AVE;ELECTRICOS;34255
1341;INTERRUPTOR TRIPLE BLANCO DUOMO AVE;ELECTRICOS;35691
1342;INVECRYL 500 1 KILO SAPOLIN;CONSTRUCCION;2126
2441;INVECRYL 750 GRS SAPOLIN;CONSTRUCCION;2125
3372;INYECTOR DE GRASA 6000 PSI;HERRAMIENTA MANUAL;14859
1343;JABON PARA MANOS 500 ML;ASEO;
1344;JABON PARA MANOS GALON;ASEO;
1345;JABON PARA MANOS LITRO;ASEO;
1346;JABON REY 500 ML;ASEO;
1347;JABON REY GALON;ASEO;
1348;JABON REY LITRO;ASEO;
3293;LIBRE;GRIFERIA;
3678;JABONERA CROMADA PLASTGRIFOS;HOGAR Y COCINA;
3598;JUEGO DE 121 PIEZAS MOTORTOOL TRUPER;HERRAMIENTA MANUAL;"""""""Marca Truper, Modelo 100757, Modelo alfanumérico 100757, Voltaje N/A, Cantidad de accesorios 121""""  """"JUEGO ACCESORIOS P/HTA ROTATIVA, 121 PZSMarca TruperClave MOTO-KIT-121Código 100757 CARACTERÍSTICAS:- Accesorios para herramienta rotativa- Ideal para detalles de grabado, corte, desbaste, afilado, limpieza y pulido ESPECIFICACIONES:- Empaque individual Estuche plásticoINCLUYE:- 40 Discos de lijado- 36 Ruedas de corte- 8 Bandas de lijado- 7 Ruedas de fieltro- 6 Ruedas abrasivas de carburo de silicio- 6 Ruedas abrasivas de óxido de aluminio- 5 Cortadoras de diamante- 2 Piedras para esmerilado de carburo de silicio- 2 Boquillas- 2 Mandriles- 2 Mandriles para bandas de lijado- 2 Ruedas abrasivas- 1 Cepillo de acero- 1 Piedra para afilar- 1 Punta de fieltro."""""""
1349;JUEGO DE 10 LIMAS PARA JOYERO TRUPER;HERRAMIENTA MANUAL;15239
1350;JUEGO DE 3 MINICEPILLOS GRATA TRUPER;HERRAMIENTA MANUAL;Marca Truper, Modelo 10652  JUEGO MINICEPILLOS ALAMBRE 3 PZCódigo: 10652 Especificaciones:Ancho: 1.3 cmCalibre (acero inoxidable y latón): 0.15 mmCalibre (nylon): 0.5 mmCerda expuesta: 1.6 cmEmpaque: BlisterLargo: 18 cmNúmero de pinceles: 28Incluye:1 Cepillo de alambre de acero inoxidable1 Cepillo de alambre de acero nylon1 Cepillo de alambre de latónCaracterísticas:Alambre en la parte superior para trabajo detallado en áreas de difícil accesoMangos antideslizantes de TPRUsos:Acero inoxidable: para trabajos pesadosLatón: para limpiar objetos de metal sin crear chispasNylon: para limpiar piezas delicadas sin rayar o dañarlas  
1351;JUEGO DE 3 PIEZAS SIERRAS PARA CERRADURA TRUPER;HERRAMIENTA MANUAL;"""Marca Truper, Modelo 23549  """"DESCRIPCIÓN:JUEGO DE SIERRA COPAS, 9 Piezas, luminio, Madera-PlásticosMarca: PretulCodigo: 23549USOS• Sierra y mandril fabricados en acero al carbono• Broca plana fabricada en acero al alto carbono• Medidas estándar para la instalación de cerraduras depomo de cualquier marca USOS ESPECIFICACIONES Garantía: 10 años• 1 Sierra corta círculos de 2 1/8"""""""" (54mm)• 1 Broca de manita de 7/8"""""""" (22.2mm)• 1 Mandril hexagonal para mayor seguridad de agarre• Velocidad máxima 2,500 rpm."""
1352;JUEGO DE 5 SIERRA COPA ACERO AL CARBONO PRETUL;HERRAMIENTA MANUAL;23550
1353;JUEGO DE 6 DESTORNILLADORES JOYERO CLASICOS TRUPER;HERRAMIENTA MANUAL;"""""""Marca Truper, Modelo JOY-6, Formato de venta Pack, Unidades por pack 6, Forma de la punta plana, Phillips, Tipo de mango Ergonómico, Material del mango Polipropileno, Largo de la varilla 103 mm, Largo total 135 """""""", Con punta intercambiable No """" """"JUEGO CON DESARMADORES DE PRECISIÓN, 6 PIEZASCÓDIGO:14202CLAVE:JOY-6CARACTERÍSTICASBarras fabricadas en acero al cromo vanadioMangos ergonómicos de polipropileno y TPR para mayor comodidadCabeza giratoriaEstuche organizador que facilita su almacenamiento Incluye 1 Desarmador punta plana 1.8 mm2 Desarmadores punta de cruz PH00 a PH02 Desarmadores punta torx T4 y T51 Desarmador punta triwing Y000 Lo que tienes que saber de este producto, Unidades por pack: 6Formato de venta: PackLargo de la varilla: 103mm.Largo total: 135""""""""., Unidades por pack: 6Formato de venta: PackLargo de la varilla: 103mm.Largo total: 135""""""""."""""""
1354;JUEGO DE 7 LLAVES BRISTOL PULGADAS TIPO NAVAJA TRUPER;HERRAMIENTA MANUAL;15560
1355;JUEGO DE 8 COPAS METRICAS PRETUL;HERRAMIENTA MANUAL;21185
1356;JUEGO DE 8 COPAS PULGADAS PRETUL;HERRAMIENTA MANUAL;21189
1357;JUEGO DE 8 LLAVES BRISTOL LLAVERO METRICAS PRETUL;HERRAMIENTA MANUAL;21851
1358;JUEGO DE 8 LLAVES BRISTOL LLAVERO PULGADAS PRETUL;HERRAMIENTA MANUAL;21850
3314;JUEGO DE 7 LLAVES BRISTOL ACERO AL CROMO MILIMETRICA TRUPER;HERRAMIENTA MANUAL;15530
3315;JUEGO DE 7 LLAVES BRISTOL ACERO AL CROMO PULGADA TRUPER;HERRAMIENTA MANUAL;15533
1359;KIT DE 6 ACCESORIOS PARA BAÃ¯Â¿Â½O TOTAL;GRIFERIA;83
1360;JUEGO DE ACOPLES RAPIDO PRETUL;HERRAMIENTA MANUAL;27020
1361;JUEGO DE ACOPLES RAPIDO PRETUL;HERRAMIENTA MANUAL;27021
1362;JUEGO DE BISTURI CON ESTUCHE PRETUL;HERRAMIENTA MANUAL;22409
1363;JUEGO DE 6 BROCAS PARA MADERA TRUPER;HERRAMIENTA MANUAL;11337
1894;JUEGO DE 8 BROCAS PARA MADERA TRUPER;ABRASIVOS Y CONSUMIBLES;11338
1364;JUEGO DE DADOS CON PUNTAS Y MATRACA;HERRAMIENTA MANUAL;24219
3675;JUEGO DE 5 GRATAS ECO;HERRAMIENTA MANUAL;
1365;JUEGO DE 3 HERRAMIENTAS PARA JARDIN PRETUL;HERRAMIENTA MANUAL;21709
1366;JUEGO DE 5 LLAVES MIXTAS MM PRETUL;HERRAMIENTA MANUAL;22001
