Nombre;Referencia;Categoria;Descripcion
GANCHO ADHESIVO JUMBO BLANCO;1214;HERRAJES Y SOPORTES;
GANCHO ADHESIVO MEDIANO BLANCO;1216;HERRAJES Y SOPORTES;
GRAFITO FUELLE;1228;LUBRICANTES;
"GRATA COPA ALAMBRE ONDULADO 4""X 5/8 TRUPER";1262;HERRAMIENTA MANUAL;11529
GUANTE LATEX NEGRO HGN  002 T L;1273;DOTACION INDUSTRIAL;
GUANTE NITRILO TALLA 8;1282;DOTACION INDUSTRIAL;
GUANTE CAUCHO TRITON CAL35 T 9;1290;DOTACION INDUSTRIAL;4616
GUASA 1/2 UN;3149;TORNILLERIA;
GUASA 1/4 UN;3150;TORNILLERIA;
GUASA 3/8 UN;3152;TORNILLERIA;
HERRAJE 2 PIEZAS;1294;GRIFERIA;
INTERRUPTOR SENCILLO BLANCO MERCURY;1338;ELECTRICOS;
"LLANA LISA MANGO PLASTICO 1 1X 5"" TRUPER";1461;HERRAMIENTA MANUAL;15412
LLAVE MIXTA 13 MMX145MM PRETUL;1502;HERRAMIENTA MANUAL;21907
"MACHETE TRES CANALES 20"" CORNETA";1536;HERRAMIENTA MANUAL;5449
MANGUERA LAVADORA ENTADA TER PLASTICA 2.40MT;1583;GRIFERIA;
MARTILLO CAB CONICA MADERA 25 MM;1617;HERRAMIENTA MANUAL;10558
MASILLA AUTOMOTRIZ POLIESTER P1500 1/4 G P;1621;PINTURAS Y DISOLVENTES;10381821 40%
MASILLA PEQUEï¿½A RALLY ORIGINAL;1630;PEGANTES;
"NIPLE GALVANIZADO KAUDAL 1/2 X3""";1681;TUBERIAS Y ACCESORIOS;29209
"NIPLE GALVANIZADO KAUDAL 3/4X1""";3303;GRIFERIA;
ORRING 006;1708;PARTES Y REPUESTOS;
ORRING 007;1709;PARTES Y REPUESTOS;
ORRING 008;1710;PARTES Y REPUESTOS;
ORRING 009;1711;PARTES Y REPUESTOS;
PASADOR ALEMAN  21/2;3267;CERRAJERIA Y SEGURIDAD;558
PASADOR ALEMAN 3;3269;CERRAJERIA Y SEGURIDAD;
PEGACOR GRIS MEGAPEGA X25K CORONA;1765;CONSTRUCCION;99947
PEGANTE BOXER UNIVERSAL BOTELLA GYD;1773;PEGANTES;
PIEDRA MOTORTOOL GRANDE UN;1790;PARTES Y REPUESTOS;
PIEDRA MOTORTOOL PEQUEï¿½A UN;1791;PARTES Y REPUESTOS;
PIEDRA REPUESTO ENCENDEDOR CHISPERO PAQ X 5;3313;HERRAMIENTA MANUAL;19272
PILA 9V GP;1794;ELECTRICOS;
PINTURA EN SPRAY NEGRO BRILLANTE 400ML PINTE;1823;PINTURAS Y DISOLVENTES;8842
PISTOLA CALEFATEO ESQUELETO REF TRUPER;1847;HERRAMIENTA MANUAL;17558
PULSADOR TIMBRE SENCILLO S/PONER DUOMO AVE;1928;ELECTRICOS;14013
PUNTA PHILIPS N2 STANLEY;1929;HERRAMIENTA MANUAL;
"PUNTILLA CON CABEZA  1"" UN";2598;TORNILLERIA;734
PUNTILLA CON CABEZA 2 X 400 GM;3196CA;TORNILLERIA;1016
RAFIA MILENIO 3 MM (1000) 1M;3609;SOGAS Y CADENAS;
"REMACHADORA PROFESIONAL 10"" TRUPER";2005;HERRAMIENTA MANUAL;17960
REMACHE POP 6-6 3/16 X 1/2 CAJA;2069CA;TORNILLERIA;
"RODILLO HILO BRICOLAGE 9"" GOYA";2102;PINTURAS Y DISOLVENTES;3663
"RODILLO JUNIOR POLIESTER TH 2"" GOYA";2106;PINTURAS Y DISOLVENTES;1198
"RODILLO JUNIOR POLIESTER TH 3"" GOYA";2107;PINTURAS Y DISOLVENTES;1199
"RODILLO JUNIOR POLIESTER TH 4"" GOYA";2108;PINTURAS Y DISOLVENTES;1200
"RODILLO JUNIOR POLIESTER TH 5"" GOYA";2109;PINTURAS Y DISOLVENTES;1201
SILICONA SUPERFLEX ROJA 50ML LOCTITE;3674;PEGANTES;
SILICONA EN TUBO TRANSPARENTE UNIFER;2217;PEGANTES;
SOLDADURA 6013 1/8 1/2 K WEST ARCO;2229;ABRASIVOS Y CONSUMIBLES;10240650
"SOLDADURA ELECTRICA 6013 1/8"" 1K TRUPER";2248;ABRASIVOS Y CONSUMIBLES;14361
"SOLDADURA ELECTRICA 6013 3/32"" 1K 50V TRUPER";2251;ABRASIVOS Y CONSUMIBLES;14360
SOLDADURA PVC 1/128 ENAR;2272;PEGANTES;1575
SOQUET T8 UN;2299;ELECTRICOS;
SOSCO EXTENSION LAVAMANOS;2301;GRIFERIA;1566
SUPER BONDER 3 GRAMOS LOCTITE;2315;PEGANTES;13846
SUPER PEGA INTANTANEO 20G;3661;PEGANTES;
TAPON OIDO REUTILIZABLE TRIPLE BARRERA TRUPER;2380;DOTACION INDUSTRIAL;14225
TESTER CON CAIMAN TIPO ESFERO TRUPER;2446;ELECTRICOS;13987Ideal para mediciï¿½n de corriente directa en baterï¿½as y circuitos de 12 V.Punta de acero.Mango de plï¿½stico transparente aislado para mayor seguridad con indicador de luz.Clip tipo pluma para portar en el bolsillo.Cable con caimï¿½n para tierra.
THINNER EXTRAFINO 1 BOTELLA 750CC;2450;PINTURAS Y DISOLVENTES;
TIJERA PARA HOJALATERO PRETUL;3171;HERRAMIENTA MANUAL;26052
TINTE WENGUE 200 CC SUPER;2470;PINTURAS Y DISOLVENTES;80
TOALLITAS  COLORES BORDADA;3565;ASEO;
TOMA AEREA INDUSTRIAL 15 AMP  KONTIKI;2473;ELECTRICOS;FT2
TOMA DOBLE BLANCA MERCURY;2476;ELECTRICOS;
TOMA DOBLE P/T BLANCA DUOMO AVE;2478;ELECTRICOS;35219
TOMA SOBREPONER MULTIPLE 2-6 LITEWAY;2483;ELECTRICOS;33278
"TORNILLO CR RO ZINC 3/16X1/2""UN";2538;TORNILLERIA;
"TORNILLO CR RO ZINC 5/32X1""UN";2545;TORNILLERIA;
"TORNILLO CR RO ZINC 5/32X21/2""UN";2550;TORNILLERIA;
"TORNILLO DRYWALL 6X2"" UN";2585;TORNILLERIA;
"TORNILLO DRYWALL 6X21/2"" UN";2588;TORNILLERIA;
"TORNILLO HEX RO ZINC 1/2X2""UN";2636;TORNILLERIA;
"TORNILLO HEX RO ZINC 1/4X1""UN";2639;TORNILLERIA;
"TORNILLO HEX RO ZINC 1/4X11/2""UN";2641;TORNILLERIA;
"TORNILLO HEX RO ZINC 3/8X1""UN";2647;TORNILLERIA;
"TORNILLO HEX RO ZINC 5/16X11/4""UN";2661;TORNILLERIA;
"TORNILLO HEX RO ZINC 5/16X31/2""UN";2666;TORNILLERIA;
"TORNILLO HEX RO ZINC 7/16X11/2""UN";2673;TORNILLERIA;
"TORNILLO HEX RO ZINC 7/16X2""UN";2674;TORNILLERIA;
"TORNILLO KLATH P/AGUDA 8X1/2""50";2683C;TORNILLERIA;
"TORNILLO KLATH P/BROCA 8X1/2""DOC";2685D;TORNILLERIA;
"TORNILLO LAMINA 14X11/4"" UN";2745;TORNILLERIA;
"TORNILLO LAMINA 6X1"" 50";2767C;TORNILLERIA;
"TORNILLO LAMINA 6X1"" UN";2767;TORNILLERIA;
"TORNILLO LAMINA 8X11/4"" UN";2791;TORNILLERIA;
