Nombre;CategorÃ­a;Definicion;Caracteristicas
"GRATA COPA ALAMBRE ONDULADO 4""X 5/8 TRUPER";HERRAMIENTA MANUAL;Marca Truper, Modelo 14182 ;"""Grata De Copa 3"""", Alambre Ondulado Fino, Calibre 0.30 Mm, Eje 5/8-11 Marca: Truper Código: 14182 CARACTERÍSTICAS ¤ Alambre de acero al carbono para cepillado ligero, acabado fino. ¤ Diámetro: 3"""" (75 mm). ¤ Eje: 5/8-11. ¤ Espesor: 15/32"""" (12 mm). ¤ Calibre: 0.012"""" (0.30 mm). ¤ Largo del alambre: 23 mm. ¤ Máxima velocidad: 12.500 rpm. PRINCIPALES USOS ¤ Limpieza de metales, eliminación de óxido, rebabas, preparación de superficies para soldar, remueve decoloración por exposición a altas temperaturas. ¤ Para superficies irregulares grandes. ¤ Para usarse con esmeriladoras 4.1/2"""". FACTURA ELECTRÓNICA Todos nuestros productos ofertados son con IVA incluido, por lo que podrás solicitar tu factura electrónica después de que realices la compra."""
GUANTE LATEX NEGRO HGN  002 T L;DOTACION INDUSTRIAL;;
GUANTE NITRILO TALLA 8;DOTACION INDUSTRIAL;;
GUANTE CAUCHO TRITON CAL35 T 9;DOTACION INDUSTRIAL;;
GUASA 1/2 UN;TORNILLERIA;;
GUASA 1/4 UN;TORNILLERIA;;
GUASA 3/8 UN;TORNILLERIA;;
HERRAJE 2 PIEZAS;GRIFERIA;;
INTERRUPTOR SENCILLO BLANCO MERCURY;ELECTRICOS;;
LLAVE;HERRAMIENTA MANUAL;;
"LLANA LISA MANGO PLASTICO 1 1X 5"" TRUPER";HERRAMIENTA MANUAL;;
LLAVE MIXTA 13 MMX145MM PRETUL;HERRAMIENTA MANUAL;;
"MACHETE TRES CANALES 20"" CORNETA";HERRAMIENTA MANUAL;;
MANGUERA LAVADORA ENTADA TER PLASTICA 2.40MT;GRIFERIA;;
MARTILLO CAB CONICA MADERA 25 MM;HERRAMIENTA MANUAL;;
MASILLA AUTOMOTRIZ POLIESTER P1500 1/4 G P;PINTURAS Y DISOLVENTES;;
MASILLA PEQUEÃ¯Â¿Â½A RALLY ORIGINAL;PEGANTES;;
