Nombre;Referencia;Unidad de medida;Categoria;Descripcion;Costo inicial;Precio base;Impuesto;Precio total;Precio general;Código cuenta contable;Cuenta contable;Código cuenta de inventario;Cuenta de inventario;Código cuenta de costo de venta;Cuenta de costo de venta;Código de barras;Marca;Definicion;Caracteristicas;
DESTORNILLADOR INALAMBRICO BATERIA 3.6V TRUPER;3544;Unidad;HERRAMIENTA ELECTRICA;17033;57000,000000;82353,000000;19.0;98000;82353,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7506240656104;TRUPER 17033;Marca Truper, Línea 18153, Modelo 18153, Tipo de producto Destornillador, Tipo de destornillador eléctrico Compacto, Es inalámbrico Sí, Tamaño del mandril 10 mm, Encastre 3/8, Torque máximo 22 Nm, Velocidad mínima de rotación 350 rpm, Velocidad máxima de rotación 1.200 rpm, Accesorios incluidos Batería ;Diseño ligero para mayor comodidadDoble engranaje con selector de 2 velocidades mecánicas, botón de dirección de giro y bloqueo del interruptorBroquero de cambio rápido con seguro de retenciónLuz LED para iluminar área de trabajo Indicador de nivel de carga de batería.
LLANA LISA MANGO DE MADERA 6 REMACHES TRUPER;3926;Unidad;HERRAMIENTA MANUAL;15406;11400,000000;17647,000000;19.0;21000;17647,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7501206633762;TRUPER 15406;Marca Truper, Modelo LLM-6L, Tipo de producto llana, Largo x Ancho 27.9 cm x 12.7 cm, Material de la hoja Aluminio pulido, Material del mango Madera ;La llana recta 6 remaches de madera Truper 15406 es el complemento perfecto para tus proyectos de construcción. Su hoja de aluminio pulido garantiza una superficie lisa y uniforme en cada aplicación. El mango de madera proporciona un agarre cómodo y seguro, permitiéndote trabajar con precisión y control. Con este producto de calidad, podrás obtener resultados profesionales en cada trabajo. No pierdas la oportunidad de adquirir esta llana Truper y mejorar tus habilidades en la construcción. Lo que tienes que saber de este producto, Ancho: 12.7 cmLargo: 27.9 cmMaterial de la hoja: aluminio pulido.Mango fabricado en madera., Ancho: 12.7 cmLargo: 27.9 cmMaterial de la hoja: aluminio pulido.Mango fabricado en madera.
JUEGO DE 7 LLAVES TORX LARGAS CON ORGANIZADOR TRUPER;1368;Unidad;HERRAMIENTA MANUAL;15553;9657,000000;14706,000000;19.0;17500;14706,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7501206626092;TRUPER 15553;Marca Truper, Modelo Torx-7l, Tipo de llave Combinada, Color Plateado, Acabado de la llave Cromado, Tipo de cabezal Fija, Materiales Acero, Con mango antideslizante No, Con diseño ergonómico Sí ; Fabricadas en acero al cromo vanadio 2x más resistentes al desgaste• Llaves de doble posición• Organizador plástico• Llaves largas que permiten aplicar mayor torque y alcanzar lugares de difícil accesoFICHA TÉCNICA• Contenido: 7 Llaves• Empaque individual: Blíster, SOBRE EL PRODUCTOEste producto es ideal para aquellos que buscan herramientas de alta calidad y durabilidad. Las llaves están fabricadas en acero al cromo vanadio, lo que las hace 2 veces más resistentes al desgaste. Además, su diseño de doble posición y su longitud permiten aplicar mayor torque y alcanzar lugares de difícil acceso. El set incluye 7 llaves y viene en un organizador plástico para mantenerlas ordenadas y protegidas. El empaque individual es un blíster, perfecto para regalar o para uso personal. Lo que tienes que saber de este producto, Acabado de la llave: CromadoLlave de apriete fija.Fabricada en acero.Con diseño ergonómico., Acabado de la llave: CromadoLlave de apriete fija.Fabricada en acero.Con diseño ergonómico.
MANDRIL ZANCO 7/16"" PARA SIERRA COPA BIMETALICA TRUPER;4010;Unidad;HERRAMIENTA MANUAL;18123;14470,000000;21849,000000;19.0;26000;21849,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7501206676943;TRUPER 18123;Marca Truper, Modelo MAND-7/16, Tipo de mandril MANDRIL PARA BROCASIERRAS, Diámetro interno 30 mm, Capacidad mínima - Capacidad máxima 30 mm - 150 mm ;El Mandril Cortacirculos Bimetalico 7/16' Truper 18123 es una herramienta esencial para cualquier profesional o entusiasta del bricolaje. Este producto cuenta con un diámetro de broca de 1/4'' (6.3mm) y un diámetro de mandril de 7/16'' (11mm), lo que garantiza un rendimiento excepcional en todas las tareas de corte. La dureza de la broca es de 55 HRc, lo que significa que puede soportar condiciones de trabajo extremas sin perder su eficacia. El producto viene en un empaque tipo blister para garantizar su seguridad durante el transporte. La longitud de la broca es de 43 mm y la longitud total de la herramienta es de 112 mm, lo que facilita su manejo. El peso de la herramienta es de 209 g, lo que la hace ligera y fácil de manejar. La medida del zanco es de 5/8'' (15.8mm), lo que proporciona un agarre firme durante el uso. La base de la herramienta está fabricada en acero al carbono, lo que garantiza su durabilidad y resistencia. Este mandril cortacírculos es ideal para cortacírculos bimetálicos de 1 1/4'' (31.8mm) a 2 3/4'' (70mm). Este producto es de la marca Truper, conocida por su calidad y durabilidad. El modelo es MAND-7/16. Lo que tienes que saber de este producto, Corte preciso en metal.Durabilidad bimetálica.Compatible con taladros 7/16., Corte preciso en metal.Durabilidad bimetálica.Compatible con taladros 7/16.
PISTOLA DE SILICONA 4"" X 1/2"" TRUPER;1849;Unidad;HERRAMIENTA ELECTRICA;17536;19760,000000;29412,000000;19.0;35000;29412,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7501206645390;TRUPER 17536;Marca Truper, Modelo PICA-X, Tipo de producto Pistola de silicona, Formato de venta Unidad, Voltaje N/A, Usos recomendados siliconas aceticas, sika flex, no mas clavos, POLIURETANOS, Superficies recomendadas Aluminios, Paredes, Techos, vidrios, Largo x Ancho 39 cm x 5 cm, Altura 23 cm, Peso 0,84 kg, Incluye barra de pegamento No ;"PISTOLA CALAFATEADORA REFORZADA Para cartuchos tamaño estándar y aplicaciones de selladores de silicón y poliuretano (sika)Longitud: 37.7 cmMango: Tipo ''T''Medida de cartucho: 8 1/2'' x 2'' (216 x 50mm)Peso: 840 gCaracterísticas:Cuerpo fabricado en acero tipo medio barrilDoble varilla de empuje y mediciónMango de aluminio inyectadoMuela robusta de acero para asegurar el trinquete.
JUEGO DE 2 ESLINGAS REATA CON RATCHET 1500 KG TRUPER;4099;Unidad;HERRAMIENTA MANUAL;101831;55411,000000;77311,000000;19.0;92000;77311,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7506240690375;TRUPER 101831;Marca Truper, Número de pieza 2.0, Tipo de vehículo Carro/Camioneta, Largo x Ancho 5 m x 38 mm, Diámetro 0 mm, Carga máxima soportada 1.500 kg, Incluye ganchos Sí, Origen México ;Cinta 100% poliéster, no se deforma. ¤ Capacidad de carga media. ¤ Maneral metálico con cubierta plástica para mayor comodidad. ¤ Gancho doble tipo J. ¤ Resistente al agua. ¤ Mecanismo de liberación rápida. ¤ Largo: 5 m. ¤ Ancho: 1.1/2"" (38 mm). ¤ Carga máxima: 1.500 kg. ¤ Carga de trabajo: 500 kg. INCLUYE ¤ 2 Eslingas. PRINCIPALES USOS ¤ Ideal para carros y motos. FACTURA ELECTRÓNICA Todos nuestros productos ofertados son con IVA incluido, por lo que podrás solicitar tu factura electrónica después de que realices la compra. Realizamos facturas a empresas y personas."
CINCEL DE CORTE FRIO 3/4 X 10"" CON GRIP TRUPER;667;Unidad;HERRAMIENTA MANUAL;12275;13738,000000;21849,000000;19.0;26000;21849,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7506240637141;TRUPER 12275;Marca Truper, Modelo C-3/4X10, Tipo de herramienta Cincel, Ancho de la hoja 1,9 cm, Largo 2,5 cm, Formas de las hojas Plana, Tipo de formón o cincel Plano, Material de la hoja Acerp al cromo vanadio, Material del mango Cromo vanadio, Superficies aptas Concreto, Es apto para martillo demoledor No ;"El cincel de corte frío de 3/4 X 10"", es un producto de la reconocida marca Truper, sinónimo de calidad y durabilidad. Este cincel está fabricado en acero al cromo vanadio, un material resistente y duradero que garantiza un rendimiento excepcional y una larga vida útil. La hoja de este cincel tiene un ancho de 19 mm, lo que proporciona un corte preciso y eficiente. A pesar de su robustez, este cincel tiene un peso ligero de 290 g, lo que facilita su manejo y reduce la fatiga durante su uso. El mango de este cincel también está hecho de cromo vanadio, lo que asegura un agarre firme y seguro. Este cincel no es apto para martillo demoledor, pero sus cabezas grandes incrementan el área de impacto, lo que lo hace ideal para una variedad de trabajos de corte. El producto viene en un empaque individual en tarjeta plástica, lo que garantiza su protección durante el transporte. El código de producto es 12145 y la clave de producto es C-3/4X10. El cincel tiene un largo de 10"" (25 cm) y un diámetro de cabeza de 18.5 mm. Lo que tienes que saber de este producto, Ancho de la hoja: 1.9 cmLargo: 2.5 cmLa hoja está hecha de acerp al cromo vanadio.Con mango de cromo vanadio., Ancho de la hoja: 1.9 cmLargo: 2.5 cmLa hoja está hecha de acerp al cromo vanadio.Con mango de cromo vanadio."
CINCEL DE CORTE FRIO 5/8 x 8"" TRUPER;670;Unidad;HERRAMIENTA MANUAL;12130;7403,000000;12185,000000;19.0;14500;12185,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7501206633496;TRUPER 12130;Marca Truper, Modelo C-5/8X8, Formas de las hojas Plana, Tipo de formón o cincel Plano, Material de la hoja Acero al carbono, Es apto para martillo demoledor No ;"El Cincel de Corte Frío de 5/8 X 8 pulgadas de la reconocida marca Truper es una herramienta esencial para profesionales y aficionados al bricolaje. Este modelo C-5/8X8 está meticulosamente fabricado en acero al cromo vanadio, garantizando durabilidad y resistencia en trabajos pesados. Su diseño cuenta con cabezas grandes, optimizadas para incrementar el área de impacto y facilitar la tarea de cincelado. Con un peso de tan solo 180 gramos, este cincel ofrece un manejo cómodo y eficiente. Además, su cuña de 5/8"" (16 mm) y un largo total de 8"" (20 cm) lo hacen ideal para cortes precisos en una variedad de materiales. Presentado en un empaque individual de tarjeta plástica, este cincel Truper combina calidad y practicidad, asegurando un rendimiento excepcional en cada uso. Lo que tienes que saber de este producto, Ideal para trabajos pesados en metal.Mango ergonómico para mayor comodidad., Ideal para trabajos pesados en metal.Mango ergonómico para mayor comodidad."
CINCEL DE CORTE FRIO 3/8 X 10"" TRUPER;668;Unidad;HERRAMIENTA MANUAL;12112;6792,000000;11765,000000;19.0;14000;11765,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7501206633465;TRUPER 12112;Marca Truper, Modelo 12112 ;CINCEL CORTE FRIO 3/8'' X 10''Código: 12112Especificaciones:Cuña: 3/8'' (9.5mm)Diámetro de cabeza : 11 mmDureza de cabeza: 45 HRcDureza de cuña: 60 HRcEmpaque: Tarjeta plásticaLargo: 10'' (254mm)Peso: 110 gCaracterísticas:Cabeza grande que incrementa el área de impactoFabricado en acero al cromo vanadioUsos:Cortar, raspar, picar, ranurar o desbastar materiales en frío como piedra, ladrillo, concreto y metal
CEPILLO GRATA ACERO AL CARBONO 51 TRUPER;562;Unidad;HERRAMIENTA MANUAL;11553;4656,000000;7563,000000;19.0;9000;7563,000000;413505;Ventas;143505.0;Inventarios;613505.0;Costos del inventario;7501206666890;TRUPER 11553;Marca Truper, Modelo CEA-10, Material de las cerdas Acero, Material del mango Polipropileno, Forma del cepillo Ondulado, Espesor de las cerdas 0,26 mm, Largo de las cerdas 24 cm, Con mango Sí ;El Cepillo De Grata Curvo Grata Ondulado de la reconocida marca Truper es una herramienta esencial para cualquier proyecto de bricolaje o profesional. Con un largo de cerdas de 24 cm, este cepillo es perfecto para llegar a esas áreas difíciles de alcanzar y realizar un trabajo de limpieza eficiente.Las cerdas están hechas de acero de alta calidad con un espesor de 0.26 mm, lo que garantiza una durabilidad y resistencia excepcionales. Este cepillo no solo es robusto, sino que también es capaz de resistir el desgaste de trabajos pesados, lo que lo convierte en una inversión valiosa para cualquier caja de herramientas.El mango de este cepillo está hecho de polipropileno, un material conocido por su resistencia y durabilidad. Esto asegura un agarre firme y cómodo, permitiéndote trabajar durante largos periodos de tiempo sin sentir fatiga en las manos.El modelo CEA-10 de Truper es una herramienta de alta calidad que te ayudará a realizar tus tareas de manera eficiente y efectiva. Ya sea que necesites limpiar superficies de metal, eliminar óxido o preparar superficies para pintar, este cepillo de grata curvo es la herramienta perfecta para el trabajo. Lo que tienes que saber de este producto, Largo de las cerdas: 24cm.Espesor de las cerdas: 0.26mm.Material de las cerdas: acero.Con mango.Material del mango: polipropileno., Largo de las cerdas: 24cm.Espesor de las cerdas: 0.26mm.Material de las cerdas: acero.Con mango.Material del mango: polipropileno.
