Nombre;Referencia;Categoría;Descripción;Marca
"SOLDADURA ELECTRICA 6011 1/8"" 1V TRUPER";2246;ABRASIVOS Y CONSUMIBLES;15460;TRUPER 15460
"SOLDADURA ELECTRICA 6011 1/8"" 5K TRUPER";2247;ABRASIVOS Y CONSUMIBLES;15460;TRUPER 15460
"SOLDADURA ELECTRICA 6013 1/8"" 1V TRUPER";2249;ABRASIVOS Y CONSUMIBLES;14361;TRUPER 14361
"SOLDADURA ELECTRICA 6013 1/8"" 5K TRUPER";2250;ABRASIVOS Y CONSUMIBLES;14361;TRUPER 14361
"SOLDADURA ELECTRICA 6013 3/32"" 1V TRUPER";2252;ABRASIVOS Y CONSUMIBLES;14360;TRUPER 14360
"SOLDADURA ELECTRICA 6013 3/32"" 5K TRUPER";2253;ABRASIVOS Y CONSUMIBLES;14360;TRUPER 14360
"SOLDADURA ELECTRICA 7018 1/8"" 1K TRUPER";2254;ABRASIVOS Y CONSUMIBLES;14363;TRUPER 14363
"SOLDADURA ELECTRICA 7018 1/8"" 1V TRUPER";2255;ABRASIVOS Y CONSUMIBLES;14363;TRUPER 14363
"SOLDADURA ELECTRICA 7018 1/8"" 5K TRUPER";2256;ABRASIVOS Y CONSUMIBLES;14363;TRUPER 14363
SONDA DE NYLON CABLEAR 10 MT TRUPER;2279;GRIFERIA;17755;TRUPER 17755
TALADRO 3/8 PROFESIONAL 380W TRUPER;3215;HERRAMIENTA ELECTRICA;16736;TRUPER 16736
"TALADRO PERCUTOR 1/2"" PRO 600W TRUPER";2347;HERRAMIENTA ELECTRICA;15679;TRUPER 15679
TALADRO PERCUTOR ELECTRO NEUMATICO INDUSTRIAL TRUPER;2348;HERRAMIENTA ELECTRICA;16762;TRUPER 16762
"TALADRO PERCUTOR INDUSTRIAL 1/2"" 900 W TRUPER";2349;HERRAMIENTA ELECTRICA;19324Motor de 900 W, montado sobre baleros de bolas para mayor vida ï¿½til y mejor desempeï¿½o.Caja de aluminio, doble engranaje con 2 velocidades mecï¿½nicas para alta resistencia de uso.Selector de funciï¿½n taladro o rotomartillo, con velocidad variable reversible.Mango auxiliar antiderrapante con giro de 360;TRUPER 19324 900 2 360
TAPON DE OIDO ESPUMA POLIURETANO TRUPER;2379;DOTACION INDUSTRIAL;14223;TRUPER 14223
TESTER 14 CM TIPO ESFERO TRUPER;2444;ELECTRICOS;13988Ideal para circuitos de corriente alterna de 100-500 V.Punta de acero al cromo vanadio.Mango de acrï¿½lico transparente con indicador de luz.Clip tipo pluma para portar en el bolsillo.Funciona al tocar.;TRUPER 13988 100 500
TESTER 19 CM TRUPER;2445;ELECTRICOS;13989Ideal para circuitos de corriente alterna 100-500 V.Punta de acero al cromo vanadio.Mango acrï¿½lico transparente, aislado para mayor seguridad con indicador de luz.Clip tipo pluma para portar en el bolsillo.Funciona al tocar.;TRUPER 13989 100 500
TESTER DIGITAL DE TENSION TRUPER;2447;ELECTRICOS;18333Mediciï¿½n individual de C.A. / C.C. 12 - 36 - 55 - 110 - 220 V.Cuerpo fabricado en ABS.Punta tipo desarmadorCon clip tipo pluma para llevar en el bolsillo.Funciona al tocar.;TRUPER 18333 12 36 55 110 220
"TIJERA PARA SASTRE 8"" TRUPER";3593;HERRAMIENTA MANUAL;18550;TRUPER 18550
"GRATA COPA 4"" ALAMBRE TRENZADO MULTI-ROSCA TRUPER";3711;ABRASIVOS Y CONSUMIBLES;100852;TRUPER 100852
MULTIHERRAMIENTA 6 FUNCIONES TIPO LLAVERO TRUPER;3712;HOGAR Y COCINA;13336;TRUPER 13336
"FALSA ESCUADRA 8"" DE ACERO INOX MANGO ABS TRUPER";3713;HERRAMIENTA MANUAL;14382;TRUPER 14382
"SIERRA COPA BIMETALICA 31/2"" TRUPER";3714;ABRASIVOS Y CONSUMIBLES;14717;TRUPER 14717
"SIERRA COPA BIMETALICA 21/4"" TRUPER";3717;ABRASIVOS Y CONSUMIBLES;18099;TRUPER 18099
"SIERRA COPA BIMETALICA 23/4"" TRUPER";3718;ABRASIVOS Y CONSUMIBLES;18120;TRUPER 18120
"ZAPAPICO MADERA 5 LB 36"" TRUPER";3164;HERRAMIENTA MANUAL;18647;TRUPER 18647
JUEGO DE 4 SIERRA COPAS BIMETALICA CON MANDRIL TRUPER;3738;ABRASIVOS Y CONSUMIBLES;100815;TRUPER 100815
PISTOLA DE SOLDAR 140W 2Tï¿½ TRUPER;3744;HERRAMIENTA ELECTRICA;17548;TRUPER 17548
"GRATA TRENZADA PARA PULIDORA 6"" TRUPER";3858;HERRAMIENTA MANUAL;11597;TRUPER 11597
ESPUMA EXPANSIVA 750ML TRUPER;3862;CONSTRUCCION;15305;TRUPER 15305
ESPUMA EXPANSIVA 300ML TRUPER;3863;CONSTRUCCION;10919;TRUPER 10919
MANGUERA COMPRESOR 1/4 300 PSI TRUPER;3912;TUBERIAS Y ACCESORIOS;19013;TRUPER 19013
LLANA LISA MANGO DE MADERA 6 REMACHES TRUPER;3926;HERRAMIENTA MANUAL;15406;TRUPER 15406
LLANA DENTADA MANGO DE MADERA 6 REMACHES TRUPER;3927;HERRAMIENTA MANUAL;15410;TRUPER 15410
CRAYONES EN BLISTER X 2 12CM INDUSTRIALES TRUPER;3931;HERRAMIENTA MANUAL;101687;TRUPER 101687
CARETA PARA SOLDAR ELCTRONICA TRUPER;3935;DOTACION INDUSTRIAL;29978;TRUPER 29978
GRASA BLANCA DE LITIO AEROSOL 295ML TRUPER;3959;LUBRICANTES;101974;TRUPER 101974
LUBRICANTE DE CADENAS AEROSOL 400ML TRUPER;3960;LUBRICANTES;101975;TRUPER 101975
"JUEGO DE 7 PUNTAS TORX COMBINADAS 1"" TRUPER";3962;HERRAMIENTA MANUAL;17795;TRUPER 17795
"JUEGO DE 7 PUNTAS TORX CON SEGURO 2"" TRUPER";3963;HERRAMIENTA MANUAL;17813;TRUPER 17813
JUEGO DE 3 ADAPTADORES EXTENSION COPAS 1/4, 3/8, 1/2 TRUPER;3964;HERRAMIENTA MANUAL;10752;TRUPER 10752
LUBRICANTE SECO PTFE SPRAY 240 ML TRUPER;3991;LUBRICANTES;101977;TRUPER 101977
GAVETA APILABLE DE PLASTICO N2 17X11X8CM TRUPER;4006;HERRAJES Y SOPORTES;10889;TRUPER 10889
GAVETA APILABLE DE PLASTICO N3 25X17X11CM TRUPER;4007;HERRAJES Y SOPORTES;10890;TRUPER 10890
ORGANIZADOR CON 64 GAVETAS TRUPER;4008;HERRAJES Y SOPORTES;10895;TRUPER 10895
"MANDRIL ZANCO 3/8"" PARA SIERRA COPA BIMETALICA TRUPER";4009;HERRAMIENTA MANUAL;18122;TRUPER 18122
"MANDRIL ZANCO 7/16"" PARA SIERRA COPA BIMETALICA TRUPER";4010;HERRAMIENTA MANUAL;18123;TRUPER 18123
"SIERRA COPA BIMETALICA 1 3/4"" TRUPER";4011;ABRASIVOS Y CONSUMIBLES;18096;TRUPER 18096
PUNTAS PARA CAUTIN TIPO PISTOLA X2 TRUPER;4017;ABRASIVOS Y CONSUMIBLES;17555;TRUPER 17555
"PIEDRA PARA ESMERIL 5 X 3/4"" GRANO 36 TRUPER";4021;ABRASIVOS Y CONSUMIBLES;16358;TRUPER 16358
"BROCA PARA MADERA 3/16"" TRUPER";4035;ABRASIVOS Y CONSUMIBLES;101629;TRUPER 101629
"BROCA PARA MADERA 1/4"" TRUPER";4036;ABRASIVOS Y CONSUMIBLES;101691;TRUPER 101691
SELLADOR DE POLIURETANO 280ML GRIS TRUPER;4072;PINTURAS Y DISOLVENTES;12905;TRUPER 12905
LIJADORA MANUAL DE BASE ALUMINIO 8X24 CM TRUPER;4080;HERRAMIENTA MANUAL;100436;TRUPER 100436
"HOMBRESOLO DE CAENA 8"" TRUPER";4084;HERRAMIENTA MANUAL;17438;TRUPER 17438
"HOMBRESOLO GIRATORIO TIPO C 9"" TRUPER";4085;HERRAMIENTA MANUAL;17414;TRUPER 17414
"HOMBRESOLO DE SOLDADOR 9"" TRUPER";4086;HERRAMIENTA MANUAL;17426;TRUPER 17426
"HOMBRESOLO HOJALATERO 8"" TRUPER";4087;HERRAMIENTA MANUAL;17425;TRUPER 17425
"HOMBRESOLO DE PUNTA LARGA 9"" TRUPER";4088;HERRAMIENTA MANUAL;17433;TRUPER 17433
PISTOLA PARA LIMPIEZA DE MAQUINAS TOSCA 1/4 TRUPER;4089;HERRAMIENTA MANUAL;19237;TRUPER 19237
BORNES DE LATON PARA BATERIA 2 PIEZAS TRUPER;4090;PARTES Y REPUESTOS;23042;TRUPER 23042
JUEGO DE 2 ESLINGAS REATA CON RATCHET 1500 KG TRUPER;4099;HERRAMIENTA MANUAL;101831;TRUPER 101831
"ESMERIL DE BANCO 5"" DE 1/4 HP TRUPER";4100;HERRAMIENTA ELECTRICA;12784;TRUPER 12784
VIDRIO TRANSPARENTE REDONDO 50MM TRUPER;4138;ABRASIVOS Y CONSUMIBLES;14280;TRUPER 14280
"GRATA COPA  ALAMBRE TRENZADO 3"" MULTI-ROSCA TRUPER";4145;HERRAMIENTA MANUAL;100851;TRUPER 100851
"GRATA COPA  ALAMBRE ONDULADO 3"" MULTI-ROSCA TRUPER";4146;HERRAMIENTA MANUAL;100857;TRUPER 100857
CINTA METRICA 30M METALICA TRUPER;4147;HERRAMIENTA MANUAL;12648;TRUPER 12648
ACOPLE RAPIDO MANGUERA-ACC TRUPER;4148;GRIFERIA;12722;TRUPER 12722
ACOPLE RAPIDO MACHO ABS TRUPER;4149;GRIFERIA;12726;TRUPER 12726
ACOPLE RAPIDO HEMBRA ABS TRUPER;4150;GRIFERIA;12727;TRUPER 12727
COPA MANDO 1/2 6 PUNTAS 10 MM TRUPER;4151;HERRAMIENTA MANUAL;13260;TRUPER 13260
"GRAPADORA TIPO PISTOLA 5/16"" TRUPER";4154;HERRAMIENTA MANUAL;17963;TRUPER 17963
COPA MANDO 3/8 6 PUNTAS 6 MM TRUPER;4157;HERRAMIENTA MANUAL;13670;TRUPER 13670
COPA MANDO 3/8 6 PUNTAS 7 MM TRUPER;4158;HERRAMIENTA MANUAL;13671;TRUPER 13671
COPA MANDO 3/8 6 PUNTAS 8 MM TRUPER;4159;HERRAMIENTA MANUAL;13672;TRUPER 13672
COPA MANDO 3/8 6 PUNTAS 9 MM TRUPER;4160;HERRAMIENTA MANUAL;13673;TRUPER 13673
"LIMA PLANA BASTARDA 4"" TRUPER";4161;HERRAMIENTA MANUAL;15138;TRUPER 15138
"LIMA REDONDA BASTARDA 4"" TRUPER";4162;HERRAMIENTA MANUAL;15185;TRUPER 15185
EXTENSION ADAPTADOR ARTICULADO 1/4 MAGNETICO TRUPER;4185;HERRAMIENTA MANUAL;11875;TRUPER 11875
SOLDADURA 95/5 PARA TUBERIA DE GAS 45G 1MT TRUPER;4186;PEGANTES;14367;TRUPER 14367
SOLDADURA 95/5 PARA TUBERIA DE GAS 45G ROLLO X8MT TRUPER;4187;PEGANTES;14367;TRUPER 14367
"CINCEL DE CORTE FRIO 3/4 x 10"" TRUPER";4244;HERRAMIENTA MANUAL;12145;TRUPER 12145
"CINTA ENMASCARAR 1/2"" X 50M TRUPER";4265;PEGANTES;12589;TRUPER 12589
"CINTA ENMASCARAR 11/2"" X 50M TRUPER";4266;PEGANTES;12592;TRUPER 12592
"CINTA ENMASCARAR AZUL PARA PINTORES 1/2"" TRUPER";4267;PEGANTES;12620;TRUPER 12620
"EXTENSION PARA RACHET 2 1/2"" MANDO 1/2 TRUPER";4274;HERRAMIENTA MANUAL;13414;TRUPER 13414
"EXTENSION PARA RACHET 3"" MANDO 3/8 TRUPER";4275;HERRAMIENTA MANUAL;13663;TRUPER 13663
"EXTENSION PARA RACHET 6"" MANDO 3/8 TRUPER";4276;HERRAMIENTA MANUAL;13916;TRUPER 13916
CUCHILLA PARA BISTURI 25 MM 10 PIEZAS TRUPER;4294;HERRAMIENTA MANUAL;17903;TRUPER 17903
BISTURI 25 MM REFORZADO PLASTICO CON ALMA METALICA TRUPER;4297;HERRAMIENTA MANUAL;17904;TRUPER 17904
CUCHILLA PARA BISTURI SK4 5 PIEZAS TRUPER;4298;HERRAMIENTA MANUAL;16953;TRUPER 16953
"CINTA ENMASCARAR 2"" X 50M TRUPER";4300;PEGANTES;12593;TRUPER 12593
JUEGO DE LLAVES BRISTOL EXTRALARGAS METRICAS 7 PIEZAS TRUPER;4302;HERRAMIENTA MANUAL;15548;TRUPER 15548
"GRATA COPA 4"" ALAMBRE ONDULADO MULTI-ROSCA TRUPER";4306;ABRASIVOS Y CONSUMIBLES;100858;TRUPER 100858
"ALICATE PONCHADORA 8"" PARA RJ45 8 HILOS TRUPER";4428;HERRAMIENTA MANUAL;18342;TRUPER 18342
ESCALERA TIPO TIJERA 7 PELDAï¿½OS BANDEJA TRUPER;4483;HERRAMIENTA MANUAL;10337;TRUPER 10337
ASPIRADORA DE SOLIDOS Y LIQUIDOS G GL TRUPER;4501;HERRAMIENTA ELECTRICA;12092;TRUPER 12092
"LLAVE DE TUBO 36"" TRUPER";4506;HERRAMIENTA MANUAL;15841;TRUPER 15841
TAPA OIDOS COPA TRUPER;4505;DOTACION INDUSTRIAL;14257;TRUPER 14257
JUEGO DE LLAVES BRISTOL EXTRALARGAS PULGDAS 7 PIEZAS TRUPER;4538;HERRAMIENTA MANUAL;15551;TRUPER 15551
"CINTA ENMASCARAR 1"" X 50M TRUPER";4542;PEGANTES;12591;TRUPER 12591
"SERRUCHO DE PODA 12"" HOJA CURVA 6DPP TRUPER";4666;HERRAMIENTA MANUAL;18171Hoja curva para cortes rï¿½pidos, fabricada en acero SK5 resistente al desgasteDientes con dureza de 50 - 64 HRc, con triple filo para cortes mï¿½s rï¿½pidos que los dientes comercialesMangos de madera, ergonï¿½micos.;TRUPER 18171 5 50 64
CINTA ANTIDESLIZANTE 25MM X 5M TRUPER;4674;CONSTRUCCION;12542;TRUPER 12542
"BROCA CONCRETO 1/2 X 6"" TRUPER";4675;ABRASIVOS Y CONSUMIBLES;11230;TRUPER 11230
JUEGO DE 2 ESLINGAS REATA CON RATCHET CARGA 400KG TRUPER;4681;HERRAMIENTA MANUAL;101739;TRUPER 101739
FUNDA DE CARNAZA PARA TIJERAS TRUPER;4696;HOGAR Y COCINA;17334;TRUPER 17334
FILTRO DE GASOLINA MOTOBOMBA TRUPER;4710;PARTES Y REPUESTOS;101139;TRUPER 101139
"SOLDADURA ELECTRICA 7018 3/32"" 1K TRUPER";4711;ABRASIVOS Y CONSUMIBLES;101535;TRUPER 101535
"SOLDADURA ELECTRICA 7018 3/32"" 5K TRUPER";4712;ABRASIVOS Y CONSUMIBLES;101535;TRUPER 101535
TAPA BOCAS PARA POLVO CONCHA TRUPER;4713;DOTACION INDUSTRIAL;14250;TRUPER 14250
"ESCUADRA CARPINTERO 12"" 30CM TRUPER";4714;HERRAMIENTA MANUAL;14376;TRUPER 14376
"JUEGO DE 5 SEGUETAS PARA CALADORA ""T"" CORTE MADERA TRUPER";4726;HERRAMIENTA MANUAL;18126;TRUPER 18126
"JUEGO DE 5 SEGUETAS PARA CALADORA ""T"" CORTE METAL TRUPER";4727;HERRAMIENTA MANUAL;18132;TRUPER 18132
"JUEGO DE 5 SEGUETAS PARA CALADORA ""U"" CORTE MADERA TRUPER";4728;HERRAMIENTA MANUAL;18137;TRUPER 18137
"JUEGO DE 2 SEGUETAS PARA SIERRA SABLE 6"" BIMETALICA TRUPER";4730;HERRAMIENTA MANUAL;10796;TRUPER 10796
JUEGO DE ACCESORIOS DE PISTOLA PARA PINTAR  TRUPER;4729;PARTES Y REPUESTOS;19511;TRUPER 19511
"ALICATE PARA ANILLOS 6"" CABEZAS INTERCAMBIABLES TRUPER";4738;HERRAMIENTA MANUAL;17355;TRUPER 17355
ALICATE PUNTA PUNTA 90ï¿½ PARA CERRAR ANILLOS TRUPER;4739;HERRAMIENTA MANUAL;17362;TRUPER 17362
"COPA MAGNETICA 5/16 LARGO 2"" TRUPER";4755;HERRAMIENTA MANUAL;12942;TRUPER 12942
BISTURI 18MM TRABAJO PESADO ALMA METAL GRIP EXPERT TRUPER;4763;;16976;TRUPER 16976
LLANA DENTADA MANGO DE PLASTICO 6 REMACHES TRUPER;4816;;15413;TRUPER 15413
"CAJA PARA PESCA 16"" CON 3 BANDEJAS DESLIZABLES TRUPER";4835;HERRAMIENTA MANUAL;10539;TRUPER 10539
JUEGO DE 6 FRESAS PARA ROUTER TRUPER;4841;;11359;TRUPER 11359
"FRESA PARA ROUTER RECTA 2 FILOS DE 1/4"" TRUPER";4842;;11452;TRUPER 11452
"FRESA PARA ROUTER REDONDEADA DE 1"" TRUPER";4843;;11469;TRUPER 11469
BROCA ESCALONADA OXIDO NEGRO 13 ESCALONES 1/8 A 1/2 TRUPER;4844;;12122;TRUPER 12122
"PUNTA ESTRELLA N 1 LARGO 2"" UNIDAD TRUPER";4845;;12146;TRUPER 12146
"PUNTA ESTRELLA N 3 LARGO 2"" UNIDAD TRUPER";4846;;12149;TRUPER 12149
"COPA MAGNETICA 7/16 LARGO 21/2"" TRUPER";4847;;12943;TRUPER 12943
"COPA MAGNETICA 12MM LARGO 21/2"" TRUPER";4848;;12955;TRUPER 12955
ACEITE SINTETICO PARA MOTOR 2 TIEMPOS 60ML TRUPER;4849;;14991;TRUPER 14991
BOQUILLA PARA SOLDADURAS TRUPER;4850;;14115;TRUPER 14115
"EXTENSION PARA RACHET 8"" MANDO 1/2 TRUPER";4983;HERRAMIENTA MANUAL;13917;TRUPER 13917
"BROCA ESPADA PARA MADERA 7/16"" TRUPER";5010;CERRAJERIA Y SEGURIDAD;11369;TRUPER 11369
BOLSA REUTILIZABLE TRUPER;5019;HOGAR Y COCINA;65013;TRUPER 65013
"COPA MAGNETICA 3/8 LARGO 21/2"" TRUPER";5044;TORNILLERIA;;
"COPA MANDO 1/2 6 PUNTAS 11/16"" TRUPER";5045;HERRAMIENTA MANUAL;;
"COPA DIAMANTADA CONTINO 11/2"" TRUPER";5046;ABRASIVOS Y CONSUMIBLES;;
MINI SOLDADOR INVERSOR 100A 127V TRUPER;5047;ELECTRICOS;;
"COPA MAGNETICA 8MM LARGO 21/2"" TRUPER";5063;HERRAMIENTA MANUAL;;
