Nombre;Referencia;Categoría;Descripción;Marca
CABLES PARA INICIAR 3.5 MT 6 AWG TRUPER;427;ELECTRICOS;17544  Cable extra largo de aluminio revestido de cobre.Mayor flexibilidad para fï¿½cil manejo, no se enredan.Pinzas con pintura electrostï¿½tica y mordazas de acero recubiertas de cobre.Funda para fï¿½cil transporte y almacenamiento.;TRUPER 17544
CADENA PLASTICO 8MM AMARILLA 1MT TRUPER;432;SOGAS Y CADENAS;44182;TRUPER 44182
CALIBRADOR CABEZA DOBLE 200 LBS TRUPER;3009;HERRAMIENTA MANUAL;18244;TRUPER 18244
CEPILLO GRATA ACERO AL CARBONO 51 TRUPER;562;HERRAMIENTA MANUAL;11553;TRUPER 11553
CEPILLO GRATA ACERO AL CARBONO 64 TRUPER;563;HERRAMIENTA MANUAL;11559;TRUPER 11559
CEPILLO GRATA CURVO ONDULADO TRUPER;564;HERRAMIENTA MANUAL;11540;TRUPER 11540
CEPILLO PARA PINTOR SEMI-RIGIDO CERDA TRUPER;3542;HERRAMIENTA MANUAL;14497;TRUPER 14497
CHAROLA DE PLASTICO PARA RODILLO TRUPER;591;PINTURAS Y DISOLVENTES;19211;TRUPER 19211
"CINCEL DE CORTE FRIO 1/2 X 10"" TRUPER";665;HERRAMIENTA MANUAL;12121;TRUPER 12121
"CINCEL DE CORTE FRIO 1/2 x 6"" TRUPER";666;HERRAMIENTA MANUAL;12115;TRUPER 12115
"CINCEL DE CORTE FRIO 3/4 X 10"" CON GRIP TRUPER";667;HERRAMIENTA MANUAL;12275;TRUPER 12275
"CINCEL DE CORTE FRIO 3/8 X 10"" TRUPER";668;HERRAMIENTA MANUAL;12112;TRUPER 12112
"CINCEL DE CORTE FRIO 3/8 X 6"" TRUPER";669;HERRAMIENTA MANUAL;12106;TRUPER 12106
"CINCEL DE CORTE FRIO 5/8 x 8"" TRUPER";670;HERRAMIENTA MANUAL;12130;TRUPER 12130
CINTA AISLANTE 9 MT BLANCO TRUPER;682;PEGANTES;13515;TRUPER 13515
CINTA AISLANTE 9 MT VERDE TRUPER;683;PEGANTES;13511;TRUPER 13511
CINTA AISLANTE 9 MT AMARILLA TRUPER;689;PEGANTES;13512;TRUPER 13512
CINTA AISLANTE 9 MT AZUL TRUPER;684;PEGANTES;13514;TRUPER 13514
CINTA DE AISLAR 9 MT BLANCO TRUPER;685;PEGANTES;13515;TRUPER 13515
CINTA AISLANTE 9 MT NEGRA TRUPER;686;PEGANTES;12501;TRUPER 12501
CINTA AISLANTE 9 MT ROJA TRUPER;687;PEGANTES;13513;TRUPER 13513
CINTA DE AISLAR 9 MT VERDE TRUPER;688;PEGANTES;13511;TRUPER 13511
CINTA EMPAQUE TRANSPARENTE 40 MT TRUPER;3357;PEGANTES;12551;TRUPER 12551
CINTA EMPAQUE TRANSPARENTE 50 MT TRUPER;699;PEGANTES;12555;TRUPER 12555
CINTA METRICA FIBRA DE VIDRIO 20 M TRUPER;710;HERRAMIENTA MANUAL;12638;TRUPER 12638
"CINTA TEFLON 1"" 13 MT TRUPER";725;PEGANTES;12514;TRUPER 12514
"CINTA TEFLON 1/2"" 13 MT TRUPER";726;PEGANTES;12512;TRUPER 12512
"CINTA TEFLON 3/4"" 13 MT TRUPER";727;PEGANTES;12513;TRUPER 12513
CINTA TEFLON INDUSTRIAL SEAL PROFESIONAL TRUPER;3358;TUBERIAS Y ACCESORIOS;12516;TRUPER 12516
COPA MANDO 1/2 6 PUNTAS 26MM TRUPER;816;HERRAMIENTA MANUAL;13524;TRUPER 13524
COPA MANDO 1/2 6 PUNTAS 11 MM TRUPER;817;HERRAMIENTA MANUAL;13261;TRUPER 13261
COPA MANDO 1/2 6 PUNTAS 12 MM TRUPER;818;HERRAMIENTA MANUAL;13262;TRUPER 13262
COPA MANDO 1/2 6 PUNTAS 13 MM TRUPER;819;HERRAMIENTA MANUAL;13263;TRUPER 13263
COPA MANDO 1/2 6 PUNTAS 17 MM TRUPER;820;HERRAMIENTA MANUAL;13267;TRUPER 13267
COPA MANDO 1/2 6 PUNTAS 18 MM TRUPER;821;HERRAMIENTA MANUAL;13268;TRUPER 13268
COPA MANDO 1/2 6 PUNTAS 27 MM TRUPER;822;HERRAMIENTA MANUAL;101007;TRUPER 101007
"COPA LARGA MANDO 3/8 6 PUNTAS 13/16"" PARA BUJIAS TRUPER";824;HERRAMIENTA MANUAL;13657;TRUPER 13657
COPA MANDO 1/2 6 PUNTAS 14 MM TRUPER;825;HERRAMIENTA MANUAL;13264;TRUPER 13264
COPA MANDO 1/2 6 PUNTAS 15 MM TRUPER;826;HERRAMIENTA MANUAL;13265;TRUPER 13265
COPA MANDO 1/2 6 PUNTAS 16 MM TRUPER;827;HERRAMIENTA MANUAL;13266;TRUPER 13266
COPA MANDO 1/2 6 PUNTAS 19 MM TRUPER;828;HERRAMIENTA MANUAL;13269;TRUPER 13269
COPA MANDO 1/2 6 PUNTAS 20 MM TRUPER;829;HERRAMIENTA MANUAL;13270;TRUPER 13270
COPA MANDO 1/2 6 PUNTAS 21 MM TRUPER;830;HERRAMIENTA MANUAL;13271;TRUPER 13271
COPA MANDO 1/2 6 PUNTAS 22 MM TRUPER;831;HERRAMIENTA MANUAL;13272;TRUPER 13272
COPA MANDO 1/2 6 PUNTAS 23 MM TRUPER;832;HERRAMIENTA MANUAL;13273;TRUPER 13273
COPA MANDO 1/2 6 PUNTAS 24 MM TRUPER;833;HERRAMIENTA MANUAL;13274;TRUPER 13274
COPA MANDO 1/2 6 PUNTAS 25 MM TRUPER;834;HERRAMIENTA MANUAL;14275;TRUPER 14275
"COPA LARGA MANDO 3/8 6 PUNTAS 5/8"" PARA BUJIAS TRUPER";835;HERRAMIENTA MANUAL;13655;TRUPER 13655
CORTA TUBO 18 MM TRUPER;850;HERRAMIENTA MANUAL;12853;TRUPER 12853
CORTA TUBO TIPO TIJERA 1 - 5/8 TRUPER;851;HERRAMIENTA MANUAL;12860;TRUPER 12860
CORTA VIDRIO 6 CUCHILLAS TRUPER;852;HERRAMIENTA MANUAL;12954;TRUPER 12954
"CRUCETAS PARA RUEDA 18"" TRUPER";856;HERRAMIENTA MANUAL;15480;TRUPER 15480
CUCHILLA BISTURI PEQUEï¿½A 9 MM 10 PIEZAS TRUPER;3319;HERRAMIENTA MANUAL;16962;TRUPER 16962
CUCHILLA BISTURI GRANDE 18 MM 10 PIEZAS TRUPER;3526;HERRAMIENTA MANUAL;16965;TRUPER 16965
DESTORNILLADOR INALAMBRICO BATERIA 3.6V TRUPER;3544;HERRAMIENTA ELECTRICA;17033;TRUPER 17033
"DISCO CORTE METAL 9"" X 5/64"" X 7/8"" TRUPER";914;ABRASIVOS Y CONSUMIBLES;11587;TRUPER 11587
"DISCO CORTE METAL 14"" X 1/8"" X 7/8"" PARA TRONZADORA TRUPER";922;ABRASIVOS Y CONSUMIBLES;11567;TRUPER 11567
"DISCO CORTE METAL 7"" X 5/64"" X 7/8"" TRUPER";923;ABRASIVOS Y CONSUMIBLES;10665;TRUPER 10665
"DISCO DESBASTE METAL 7"" X 1/4"" X 7/8"" TRUPER";930;ABRASIVOS Y CONSUMIBLES;12567;TRUPER 12567
"DISCO PIEDRA CORTE DIAMETRO 4"" X1/2"" TRUPER";3329;PARTES Y REPUESTOS;;
"DISCO PIEDRA CORTE DIAMETRO 7"" X1/8"" TRUPER";3330;PARTES Y REPUESTOS;11566;TRUPER 11566
ESCOBA METALICA 22 DIENTES CURVA TRUPER;1016;HERRAMIENTA MANUAL;14322;TRUPER 14322
"ESCUADRA CARPINTERO 10"" 25CM  TRUPER";1017;HERRAMIENTA MANUAL;14374;TRUPER 14374
"ESCUADRA CARPINTERO 8"" 20CM TRUPER";1018;HERRAMIENTA MANUAL;14372;TRUPER 14372
"ESCUADRA DE COMBINACION 12"" TRUPER";3541;HERRAMIENTA MANUAL;14380;TRUPER 14380
"ESPATULA PLASTICA 2"" TRUPER";1112;HERRAMIENTA MANUAL;14443;TRUPER 14443
"ESPATULA TAPIZADORA 8"" TRUPER";1123;HERRAMIENTA MANUAL;14459;TRUPER 14459
ESPEJO TESCOPICO DE INSPECCION TRUPER;3343;HERRAMIENTA MANUAL;14544;TRUPER 14544
"EXTENSION PARA RACHET 5"" MANDO 1/2 TRUPER";1143;HERRAMIENTA MANUAL;13416  Fabricada en acero al cromo vanadio.Acabado pulido espejo resistente a la oxidaciï¿½n y de fï¿½cil limpieza.Medida marcada para fï¿½cil identificaciï¿½n.;TRUPER 13416
"EXTENSION RATCHET 3/8 X 8"" TRUPER";3312;HERRAMIENTA MANUAL;13665;TRUPER 13665
